vehicle_model,vehicle_brand,manufacturing_year,repair_history,odometer_reading,customer_concerns,location,date,required_service
Seltos,Kia,2020,"No repairs",27000,"None",Germany,2024-07-13,"Standard inspection"
Santa Fe,Hyundai,2016,"Battery replacement",68000,"Battery draining quickly",Canada,2024-09-30,"Battery diagnostics"
Explorer,Ford,2017,"Brake fluid replacement",74000,"Brake light on",USA,2024-08-27,"Brake system inspection"
Rogue,Nissan,2018,"Oil change, tire rotation",51000,"Tire wear",Germany,2024-09-06,"Tire alignment"
CX-9,Mazda,2020,"No repairs",23000,"None",Canada,2024-09-08,"Standard inspection"
Sierra,GMC,2015,"Transmission repair",110000,"Transmission slipping",USA,2024-07-23,"Transmission check"
Forester,Subaru,2014,"Oil leak repair",125000,"Oil puddle under car",Australia,2024-09-27,"Oil leak fix"
Equinox,Chevrolet,2018,"Brake pad replacement",52000,"Squealing brakes",Canada,2024-08-03,"Brake pad replacement"
Grand Cherokee,Jeep,2020,"No repairs",29000,"None",Germany,2024-08-18,"Standard inspection"
Tucson,Hyundai,2017,"Oil change",58000,"Check engine light on",UK,2024-09-16,"Engine diagnostics"
Challenger,Dodge,2019,"Tire replacement",35000,"Tire wear",USA,2024-08-08,"Tire alignment"
Pilot,Honda,2016,"Radiator replacement",99000,"Overheating",Canada,2024-09-13,"Cooling system inspection"
Compass,Jeep,2021,"No repairs",16000,"None",Germany,2024-09-23,"Standard inspection"
Ranger,Ford,2018,"Brake pad change",64000,"Squeaky brakes",Australia,2024-09-09,"Brake pad replacement"
Accord,Honda,2017,"Battery replacement",72000,"Slow start",USA,2024-08-14,"Battery diagnostics"
Yaris,Toyota,2015,"Oil change, tire rotation",88000,"Tires wearing unevenly",Canada,2024-09-14,"Tire alignment"
Armada,Nissan,2016,"Brake fluid replacement",92000,"Brake light on",USA,2024-07-29,"Brake system check"
Model Y,Tesla,2021,"No repairs",21000,"None",Germany,2024-07-07,"Standard inspection"
Cruze,Chevrolet,2013,"Oil leak repair",110000,"Engine leaking oil",Canada,2024-09-26,"Oil leak fix, Engine inspection"
Pathfinder,Nissan,2017,"Transmission repair",75000,"Delayed shifting",Australia,2024-09-12,"Transmission check"
Ascent,Subaru,2019,"No repairs",31000,"None",Canada,2024-10-08,"Standard inspection"
Telluride,Kia,2020,"Brake pad replacement",39000,"Squealing noise when braking",USA,2024-09-17,"Brake pad replacement"
Corolla,Toyota,2014,"Battery replacement",95000,"Car won't start",Canada,2024-08-19,"Battery diagnostics"
